Id,OverallQual,YearBuilt,YearRemodAdd,ExterQual,ExterCond,BsmtQual,TotalBsmtSF,stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
108,5,1948,1950,TA,TA,TA,789,789,789,1,TA,5,0,1948,1,250,2008,115000
109,5,1919,2005,TA,TA,TA,793,997,1517,2,Fa,7,0,NaN,0,0,2007,115000
110,6,1977,1977,TA,TA,Gd,1844,1844,1844,2,TA,7,1,1977,2,546,2010,190000
111,6,1954,1972,TA,TA,TA,994,1216,1855,2,TA,7,0,1954,1,325,2006,136900
112,7,2000,2000,TA,TA,Gd,384,774,1430,2,TA,7,1,2000,2,400,2010,180000
113,7,2007,2007,Gd,TA,Ex,1264,1282,2696,2,Ex,10,1,2007,3,792,2007,383970
114,6,1953,1953,TA,Gd,Gd,1809,2259,2259,2,Gd,7,2,1953,2,450,2007,217000
115,6,1945,2002,TA,TA,TA,1028,1436,2320,2,Gd,9,1,1945,1,180,2007,259500
116,6,1999,1999,TA,TA,Gd,729,729,1458,2,TA,5,1,1999,2,440,2007,176000
117,5,1962,1962,TA,TA,TA,1092,1092,1092,1,TA,6,1,1962,1,288,2009,139000
118,5,2006,2007,TA,TA,Gd,1125,1125,1125,1,TA,5,0,2007,2,430,2007,155000
119,7,1990,1990,TA,TA,Gd,1673,1699,3222,3,Gd,11,2,1990,3,594,2010,320000
120,6,2005,2006,Gd,TA,Gd,728,728,1456,2,Gd,8,1,2005,2,390,2006,163990
121,6,1969,1969,TA,TA,TA,938,988,988,1,TA,4,2,1969,2,540,2006,180000
122,4,1939,1950,TA,TA,TA,732,772,1123,1,TA,4,0,1979,1,264,2007,100000
123,6,1958,1958,TA,Gd,TA,1080,1080,1080,1,TA,5,0,1958,1,288,2008,136000
124,6,1993,1993,Gd,TA,Gd,1199,1199,1199,2,Gd,5,0,1993,2,530,2008,153900
125,6,1979,1998,TA,Gd,Gd,1362,1586,1586,2,TA,7,1,1979,2,435,2009,181000
126,6,1935,1982,TA,Fa,TA,520,520,754,1,TA,5,0,NaN,0,0,2006,84500
127,6,1976,1976,TA,TA,Gd,1078,958,958,2,TA,5,1,1977,2,440,2007,128000
128,5,1930,1950,TA,Gd,TA,672,840,840,1,TA,5,1,NaN,0,0,2007,87000
129,6,1966,1966,TA,TA,TA,660,660,1348,1,TA,6,1,1966,2,453,2006,155000
130,5,1958,1991,TA,TA,TA,1008,1053,1053,1,Ex,6,0,1998,2,750,2006,150000
131,7,1966,1966,TA,TA,TA,924,1216,2157,2,Gd,8,2,1966,2,487,2006,226000
132,6,2000,2000,Gd,TA,Gd,992,1022,2054,2,Gd,7,1,2000,2,390,2009,244000
133,5,1959,2002,TA,TA,TA,1063,1327,1327,1,Gd,7,0,1974,2,624,2007,150750
134,8,2001,2002,Gd,TA,Ex,1267,1296,1296,2,Gd,6,0,2001,2,471,2009,220000
135,5,1968,1993,TA,TA,TA,1461,1721,1721,2,TA,7,1,1968,2,440,2006,180000
136,7,1970,1970,TA,TA,TA,1304,1682,1682,2,TA,7,1,1970,2,530,2008,174000
137,5,1967,1967,TA,TA,TA,1214,1214,1214,2,TA,5,1,1967,1,318,2007,143000
138,7,1988,1989,TA,TA,TA,1907,1959,1959,3,TA,9,0,1989,3,766,2006,171000
139,8,1999,2000,Gd,TA,Gd,1004,1004,1852,2,Gd,7,2,1999,3,660,2008,230000
140,6,1997,1997,TA,TA,Gd,928,928,1764,2,Gd,7,0,1997,2,470,2009,231500
141,4,1971,1971,TA,TA,TA,864,864,864,1,TA,5,1,NaN,0,0,2010,115000
142,7,2005,2005,Gd,TA,Gd,1734,1734,1734,2,Gd,7,0,2005,2,660,2006,260000
143,5,1952,1952,TA,Fa,TA,910,910,1385,2,TA,6,0,2000,2,720,2010,166000
144,7,1999,1999,Gd,TA,Gd,1490,1501,1501,2,Gd,6,0,1999,2,577,2009,204000
145,5,1963,1963,TA,TA,TA,1728,1728,1728,2,TA,10,0,1963,2,504,2006,125000
146,6,2004,2006,Gd,TA,Gd,970,970,1709,2,Gd,7,0,2004,2,380,2006,130000
147,5,1931,1993,TA,TA,TA,715,875,875,1,TA,5,0,1931,1,180,2009,105000
148,7,2001,2001,Gd,TA,Gd,884,884,2035,2,Gd,8,1,2001,2,434,2010,222500
149,7,2004,2005,TA,TA,Gd,1080,1080,1080,1,Gd,6,0,NaN,0,0,2008,141000
150,5,1936,1950,TA,TA,Gd,896,896,1344,1,TA,7,0,1936,1,240,2006,115000
151,5,1975,1975,TA,TA,TA,969,969,969,1,TA,5,0,1975,2,440,2007,122000
152,8,2007,2008,Gd,TA,Ex,1710,1710,1710,2,Gd,6,1,2007,3,866,2008,372402
153,6,1971,1971,TA,TA,TA,825,1097,1993,2,TA,8,1,1971,2,495,2006,190000
154,6,1960,1975,TA,TA,Gd,1602,1252,1252,1,TA,4,1,1960,2,564,2008,235000
155,6,1923,1950,TA,TA,TA,1200,1200,1200,1,TA,7,0,1923,1,312,2006,125000
156,6,1924,1950,TA,TA,TA,572,572,1096,1,TA,5,0,NaN,0,0,2008,79000
157,5,1950,1950,TA,TA,NA,0,1040,1040,1,TA,5,0,1950,2,625,2006,109500
158,8,2009,2010,Gd,TA,Ex,774,774,1968,2,Ex,8,1,2009,3,680,2010,269500
159,7,2004,2005,Gd,TA,Gd,991,991,1947,2,Gd,8,1,2004,2,678,2010,254900
160,7,2005,2006,Gd,TA,Gd,1392,1392,2462,2,Gd,9,1,2006,2,576,2006,320000
161,6,1984,1984,TA,TA,Gd,1232,1232,1232,2,TA,6,0,1984,2,516,2008,162500
162,9,2003,2004,Gd,TA,Ex,1572,1572,2668,2,Ex,10,2,2003,3,726,2008,412500
163,7,2005,2005,Gd,TA,Gd,1541,1541,1541,2,Gd,7,1,2005,2,532,2010,220000
164,4,1956,1956,TA,TA,TA,882,882,882,1,TA,4,0,NaN,0,0,2007,103200
165,6,1926,2004,TA,Gd,TA,1149,1149,1616,2,Gd,5,0,1926,1,216,2007,152000
166,5,1940,1999,TA,Gd,TA,644,808,1355,2,TA,6,0,NaN,0,0,2008,127500
167,5,1955,1993,Gd,TA,TA,1617,1867,1867,1,TA,7,3,1955,1,303,2009,190000
168,8,2007,2007,Gd,TA,Ex,1582,1610,2161,1,Ex,8,1,2007,3,789,2007,325624
169,7,2004,2004,Gd,TA,Gd,840,840,1720,2,Gd,7,1,2004,2,440,2007,183500
170,8,1981,1981,Gd,TA,Gd,1686,1707,1707,2,TA,6,1,1981,2,511,2006,228000
171,5,1941,1950,TA,TA,TA,720,854,1382,1,TA,7,0,1991,2,660,2007,128500
172,6,1960,1960,TA,TA,TA,1080,1656,1656,1,TA,7,2,1960,2,528,2010,215000
173,7,1987,1987,Gd,Gd,Gd,1064,1064,1767,2,Gd,5,1,1987,2,504,2006,239000
174,6,1961,1961,TA,TA,TA,1362,1362,1362,1,TA,6,1,1961,2,504,2008,163000
175,6,1986,1986,TA,TA,Gd,1606,1651,1651,2,TA,7,1,1986,2,616,2008,184000
176,6,1950,2001,TA,TA,TA,1202,2158,2158,2,Gd,7,1,1950,2,576,2007,243000
177,6,1988,1989,Gd,TA,Gd,1151,1164,2060,2,TA,8,1,1988,2,521,2007,211000
178,5,1958,1958,Gd,Gd,TA,1052,1252,1920,2,Gd,8,1,1958,2,451,2006,172500
179,9,2008,2009,Ex,TA,Ex,2216,2234,2234,2,Ex,9,1,2009,3,1166,2009,501837
180,5,1923,2006,Gd,TA,TA,968,968,968,1,TA,5,0,1935,2,480,2007,100000
181,6,2000,2000,Gd,TA,Gd,756,769,1525,2,Gd,5,1,2000,2,440,2007,177000
182,7,1920,1950,TA,TA,Fa,793,901,1802,1,TA,9,1,1920,1,216,2006,200100
183,5,1957,2006,TA,TA,NA,0,1340,1340,1,TA,7,1,1957,1,252,2007,120000
184,7,2003,2003,TA,TA,Gd,1362,1362,2082,2,Gd,6,0,2003,2,484,2008,200000
185,5,1908,1991,TA,TA,Fa,504,936,1252,1,TA,5,0,1986,2,576,2006,127000
186,10,1892,1993,Gd,Gd,TA,1107,1518,3608,2,Ex,12,2,1993,3,840,2006,475000
187,7,1990,1991,TA,TA,Gd,1188,1217,1217,2,Gd,6,0,1990,2,497,2009,173000
188,5,1916,1987,TA,TA,Fa,660,808,1656,2,TA,8,0,1916,1,180,2009,135000
189,5,1979,1979,TA,TA,Gd,1086,1224,1224,0,TA,6,2,1979,2,528,2009,153337
190,8,2001,2002,Gd,TA,Ex,1593,1593,1593,1,Ex,5,1,2001,2,682,2008,286000
191,8,1932,1994,Gd,TA,Gd,853,1549,2727,2,Gd,10,2,1932,2,440,2007,315000
192,7,1972,2004,TA,TA,TA,725,725,1479,1,Gd,7,0,1972,2,484,2007,184000
193,7,1999,1999,Gd,TA,Gd,1431,1431,1431,2,Gd,6,0,1999,2,666,2009,192000
194,7,2004,2004,Gd,TA,Gd,970,970,1709,2,Gd,7,0,2004,2,380,2006,130000
195,5,1972,1972,TA,TA,TA,864,864,864,1,TA,5,0,1989,1,352,2008,127000
196,6,1976,1976,TA,TA,Gd,855,855,1456,2,TA,7,1,1976,2,440,2009,148500
197,7,2007,2007,Ex,TA,Ex,1726,1726,1726,2,Ex,8,1,2007,3,786,2007,311872
198,8,1918,1990,Gd,Gd,TA,1360,1360,3112,2,Gd,8,1,1918,2,795,2006,235000
199,6,1912,1950,TA,TA,TA,755,929,2229,1,TA,8,0,NaN,0,0,2009,104000
200,8,2004,2005,Gd,TA,Ex,1713,1713,1713,2,Ex,7,1,2004,3,856,2009,274900
201,4,2003,2004,TA,TA,Gd,1121,1121,1121,2,TA,5,0,2003,2,440,2010,140000
202,6,1977,1977,TA,TA,TA,1196,1279,1279,2,TA,6,2,1980,2,473,2008,171500
203,6,1924,1950,TA,Gd,Fa,617,865,1310,2,TA,6,0,1924,1,398,2006,112000
204,6,2004,2004,Gd,TA,Gd,848,848,848,1,Gd,3,1,2004,2,420,2008,149000
205,5,1947,1950,TA,TA,TA,720,720,1284,1,TA,5,0,1948,1,240,2009,110000
206,7,1990,1990,TA,TA,Gd,1424,1442,1442,2,TA,5,0,1990,2,500,2009,180500
207,5,1962,1962,TA,Gd,TA,1140,1696,1696,1,TA,8,1,1962,1,349,2007,143900
208,4,1960,1960,TA,TA,TA,1100,1100,1100,1,TA,6,1,1960,1,312,2008,141000
209,7,1988,1989,Gd,TA,Gd,1157,1180,2062,2,TA,7,1,1988,2,454,2007,277000
210,6,1964,1964,TA,TA,Gd,1092,1092,1092,1,TA,6,0,1964,2,504,2008,145000
211,5,1925,1950,TA,TA,TA,864,864,864,1,TA,5,0,NaN,0,0,2008,98000
212,6,2009,2009,TA,TA,Gd,1212,1212,1212,2,Gd,6,0,2009,2,460,2010,186000
213,7,2009,2009,TA,TA,Gd,900,932,1852,2,Gd,7,1,2009,2,644,2009,252678
214,5,1995,1995,TA,TA,Gd,990,990,990,1,TA,5,0,1996,2,576,2006,156000
215,6,1977,1977,TA,TA,Gd,689,689,1392,1,TA,6,0,1977,1,299,2010,161750
216,5,1957,1996,TA,TA,TA,1070,1236,1236,1,Gd,6,1,1957,1,447,2006,134450
217,7,2004,2004,Gd,TA,Gd,1436,1436,1436,2,Gd,8,0,2004,2,484,2008,210000
218,4,1925,1950,TA,TA,TA,686,810,1328,1,TA,8,0,1940,1,210,2006,107000
219,7,1939,2006,Gd,Gd,TA,798,1137,1954,1,Gd,8,2,1939,2,431,2008,311500
220,7,2005,2006,Gd,TA,Gd,1248,1248,1248,2,Gd,5,0,2005,2,438,2006,167240
221,7,2006,2006,Gd,TA,Gd,1498,1498,1498,2,Gd,5,0,2006,2,675,2006,204900
222,6,2002,2002,Gd,TA,Gd,1010,1010,2267,2,Gd,8,1,2002,2,390,2009,200000
223,6,1975,1975,TA,TA,Gd,713,811,1552,2,TA,6,1,1975,2,434,2006,179900
224,4,1971,1971,TA,TA,TA,864,864,864,1,TA,4,0,1989,2,576,2009,97000
225,10,2003,2003,Ex,TA,Ex,2392,2392,2392,2,Ex,8,1,2003,3,968,2009,386250
226,5,1971,1971,TA,TA,TA,630,630,1302,2,TA,6,0,1991,1,280,2009,112000
227,7,1995,1995,Gd,TA,Gd,1203,1214,2520,2,Gd,9,1,1995,3,721,2007,290000
228,6,1970,1970,TA,TA,TA,483,483,987,1,TA,5,0,1987,1,280,2008,106000
229,5,1967,1967,TA,TA,TA,912,912,912,1,TA,5,1,1974,1,336,2010,125000
230,7,2005,2006,Gd,TA,Gd,1373,1555,1555,2,Gd,7,1,2005,2,430,2009,192500
231,6,1959,1959,TA,TA,TA,1194,1194,1194,1,TA,6,0,1959,1,312,2010,148000
232,8,1995,1996,Gd,TA,Gd,1462,1490,2794,2,Ex,9,1,1995,3,810,2009,403000
233,6,1972,1972,TA,TA,TA,483,483,987,1,TA,5,1,1972,1,288,2006,94500
234,5,1976,1976,TA,TA,TA,894,894,894,1,TA,5,0,1976,1,308,2010,128200
235,6,2002,2002,Gd,TA,Gd,860,860,1960,2,Gd,8,2,2002,2,440,2010,216500
236,6,1971,1971,TA,TA,TA,483,483,987,1,TA,5,0,1971,1,264,2008,89500
237,7,2004,2004,Gd,TA,Gd,1414,1414,1414,2,Gd,6,0,2004,2,494,2010,185500
238,7,1993,2003,Gd,TA,Gd,996,1014,1744,2,Gd,7,0,1993,2,457,2010,194500
239,8,2007,2007,Ex,TA,Ex,1694,1694,1694,2,Gd,7,0,2007,3,818,2007,318000
240,6,1945,1950,TA,TA,TA,735,798,1487,1,TA,7,1,1949,1,220,2010,113000
241,8,2008,2008,Gd,TA,Gd,1566,1566,1566,2,Gd,7,0,2008,2,750,2010,262500
242,5,1945,1997,TA,Gd,TA,686,866,866,1,Gd,4,0,NaN,0,0,2007,110500
243,5,1900,1950,TA,TA,TA,540,889,1440,1,TA,6,0,1940,1,352,2006,79000
244,6,1980,1980,TA,TA,Gd,626,626,1217,1,TA,6,1,1980,1,288,2009,120000
245,7,1994,2002,Gd,TA,Gd,948,1222,2110,2,Gd,8,2,1994,2,463,2010,205000
246,7,1988,1988,TA,TA,Gd,1845,1872,1872,2,TA,6,1,1988,2,604,2006,241500
247,6,1910,1950,TA,Fa,Fa,1020,908,1928,2,Fa,9,0,1910,1,440,2006,137000
248,6,1954,1954,TA,TA,TA,1367,1375,1375,1,TA,5,1,1954,2,451,2006,140000
249,7,2003,2003,Gd,TA,Gd,840,840,1668,2,Gd,8,0,2003,2,500,2007,180000
250,6,1958,2006,Gd,TA,Gd,1444,1444,2144,2,Gd,7,2,1958,2,389,2007,277000
251,3,1940,1966,TA,Po,TA,728,1306,1306,1,Fa,6,0,NaN,0,0,2010,76500
252,8,2006,2007,Gd,TA,Gd,1573,1625,1625,2,Gd,5,1,2006,2,538,2007,235000
253,6,2004,2004,Gd,TA,Gd,798,798,1640,2,Gd,6,0,2004,2,520,2008,173000
254,6,1964,1991,TA,TA,Gd,1302,1302,1302,2,Gd,7,0,1964,1,309,2007,158000
255,5,1957,1957,TA,Gd,TA,1314,1314,1314,1,TA,5,0,1957,1,294,2010,145000
256,7,1999,1999,Gd,TA,Gd,975,1005,2291,2,Gd,8,1,1999,2,429,2006,230000
257,6,2003,2003,Gd,TA,Gd,864,864,1728,2,Gd,7,0,2003,2,673,2008,207500
258,7,2006,2006,Gd,TA,Gd,1604,1604,1604,2,Gd,8,1,2006,2,660,2009,220000
259,7,2001,2001,Gd,TA,Gd,963,963,1792,2,Gd,7,1,2001,2,564,2008,231500
260,5,1956,1956,TA,TA,NA,0,882,882,1,TA,4,0,1956,1,308,2008,97000
261,6,1962,1962,TA,TA,TA,1362,1382,1382,1,TA,6,1,1991,2,884,2009,176000
262,8,2007,2007,Gd,TA,Ex,1482,1482,2574,2,Ex,10,1,2007,3,868,2007,276000
263,6,1977,1995,TA,TA,Gd,506,1212,1212,1,TA,6,1,1978,2,492,2006,151000
264,5,1929,2001,TA,TA,TA,926,926,1316,1,TA,6,0,1974,2,484,2010,130000
265,5,1925,2004,TA,TA,Fa,680,764,764,1,TA,4,0,1965,2,504,2008,73000
266,6,1981,1981,TA,Gd,Gd,1422,1422,1422,2,Gd,7,1,1981,2,576,2008,175500
267,6,1997,1997,TA,TA,Gd,802,802,1511,2,TA,8,1,1997,2,413,2006,185000
268,5,1939,1997,TA,TA,TA,720,1052,2192,2,Gd,8,1,1939,1,240,2008,179500
269,5,1940,1955,TA,TA,TA,740,778,778,1,TA,4,1,1966,1,924,2008,120500
270,6,1976,1976,TA,Gd,TA,1143,1113,1113,1,TA,6,1,1987,1,504,2007,148000
271,8,2006,2006,Gd,TA,Gd,1095,1095,1939,2,Gd,8,1,2006,3,1053,2006,266000
